,Location,Total salary,Average salary,occupation_name
1112,"Kenton County PUMA, KY",4162657806.0,45404.64030248191,"Personal care & service workers, all other "
1743,"Portage County PUMA, OH",4159499163.0,42545.7065839306,"Sales representatives, wholesale & manufacturing"
973,"Houston City (Far Northeast) PUMA, TX",4157970709.0,49202.49819742879,Printing press operators
560,"Denton City (Outer) PUMA, TX",4157779541.0,44415.34491408786,Software developers
838,"Greater Frederick City PUMA, MD",4156995194.0,45848.0813284078,Nurse practitioners & nurse midwives
2363,"Wright County PUMA, MN",4156593898.0,44475.74262860729,Probation officers & correctional treatment specialists
1423,"Montgomery City & Pike Road Town (North) PUMA, AL",4156443509.0,42202.81659864213,"Directors, religious activities & education"
1292,"Malden & Medford Cities PUMA, MA",4155382746.0,45039.4550855218,Childcare workers
707,"Faulkner & Lonoke Counties PUMA, AR",4150404493.0,44003.23925597906,Carpenters
2143,"Temecula City PUMA, CA",4148022863.0,46406.73811636253,Radiologic technologists and technicians
379,"Cherokee County (Outside Woodstock & Canton Cities) PUMA, GA",4147498154.0,45202.145487773836,Personal care aides
1315,"Marysville & Arlington Cities PUMA, WA",4147478326.0,43023.94553842424,Public safety telecommunicators
2367,"Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA, PA",4144441082.0,43549.66836360863,"Directors, religious activities & education"
2053,"St. Charles County (South) PUMA, MO",4143589903.0,47466.58357483361,"Packers & packagers, hand"
1231,"Licking County PUMA, OH",4141193614.0,44841.7737834896,Architectural and civil drafters
708,"Fayette County PUMA, GA",4140732775.0,45652.00928631419,Construction laborers
446,"Collierville Town & Germantown City PUMA, TN",4134186747.0,47973.28449634751,Other financial clerks
1527,"Northampton City PUMA, MA",4132906765.0,44223.63148989314,"Office clerks, general"
1414,"Monroe County (East) PUMA, NY",4130560077.0,46076.89170411112,"Miscellaneous mathematical science occupations, including mathematicians & statisticians"
1528,"Northampton County (North) PUMA, PA",4128795476.0,44151.19900014654,"Miscellaneous office & administrative support workers, including desktop publishers"
387,"Chester County (South) PUMA, PA",4126179488.0,43997.16793076001,Pharmacy aides
1390,"Milwaukee County (Northeast) PUMA, WI",4126177410.0,48510.10968958972,Training & development managers
1526,"North of US-290 & North of FM-1960 PUMA, TX",4123693609.0,47239.995080341265,"Mail clerks & mail machine operators, except postal service"
1375,"Middlesex County (Southeast) PUMA, NJ",4115193154.0,45057.14408936537,"Laborers & freight, stock, & material movers, hand"
205,"Boone County PUMA, MO",4115036570.0,43521.53668539798,Plasterers & stucco masons
43,"Anderson City PUMA, SC",4110269334.0,43195.71569823546,"Other engineering technologists and technicians, except drafters"
1555,"Novato & San Rafael (North) Cities PUMA, CA",4109392112.0,47489.86088304787,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
1932,"Saratoga County (Outer) PUMA, NY",4100880991.0,44733.18728473663,Fast food and counter workers
2158,"Tigard, Tualatin & Sherwood Cities PUMA, OR",4099706454.0,45186.026596401105,Firefighters
1432,"Mooresville Town & Statesville City PUMA, NC",4099274490.0,44661.36840990134,Teaching assistants
1748,"Portland City (North & Northeast) PUMA, OR",4099258342.0,45145.524275668395,Firstline supervisors of office & administrative support workers
1773,"Quincy City & Milton Town PUMA, MA",4098819863.0,46894.019132382076,Data entry keyers
209,"Boulder City PUMA, CO",4098133915.0,45095.20503413092,Construction & building inspectors
1516,"North Plainfield & Somerville Boroughs PUMA, NJ",4097632666.0,46917.06591037013,Correspondence clerks & order clerks
236,"Brookhaven Town (Central) PUMA, NY",4096624589.0,44923.36136064592,Water & wastewater treatment plant & system operators
424,"Clinton, Fort Washington (South), Rosaryville & Croom PUMA, MD",4092276531.0,46109.30023481803,Exercise trainers and group fitness instructors
2151,"Thomas Jefferson Planning District Commission (North) PUMA, VA",4092038139.0,44670.77125891915,Personal care aides
698,"Fairland, Calverton, White Oak & Burtonsville PUMA, MD",4091468910.0,47972.321679236404,Data entry keyers
2250,"Washington City PUMA, PA",4086234195.0,45026.926539947985,Industrial & refractory machinery mechanics
1116,"Kettering & Centerville Cities PUMA, OH",4082313555.0,46834.902142220024,Counter & rental clerks
1672,"Peoria City PUMA, IL",4080860610.0,42166.6668694249,Physical therapists
881,"Gwinnett County (West Central)Duluth City PUMA, GA",4080638063.0,44574.21241728454,"Hosts & hostesses, restaurant, lounge, & coffee shop"
1727,"Plymouth County (Central) PUMA, MA",4078942060.0,48196.89856952414,"Ushers, lobby attendants, & ticket takers"
1662,"Paulding County PUMA, GA",4078094103.0,42638.81887194584,Other designers
1270,"Louisville/Jefferson County (Southeast) PUMA, KY",4077934018.0,46433.87092071918,Medical assistants
662,"Elkhart & Goshen Cities PUMA, IN",4077337867.0,43616.67948288731,Barbers
1977,"Sioux Falls City PUMA, SD",4076030748.0,43738.76469382687,"Weighers, measurers, checkers, & samplers, recordkeeping"
399,"Cincinnati (East) & Norwood Cities PUMA, OH",4074854773.0,47071.8772536603,"Lifeguards & other recreational, & all other protective service workers"
970,"Houston (North), Humble Cities & Atascocita PUMA, TX",4069051252.0,45334.8770125827,Food cooking machine operators & tenders
2326,"Wichita (Northwest) & Newton Cities PUMA, KS",4067390201.0,43896.81245365014,"Compensation, benefits, & job analysis specialists"
917,"Hempstead Town (East Central) PUMA, NY",4061834352.0,45323.42882622568,Customer service representatives
26,"Allegheny County (North Central) PUMA, PA",4059720697.0,47213.30393493145,Accountants & auditors
124,"Bay Ridge & Dyker Heights PUMA, NY",4057666666.0,44025.65577521826,"Food servers, nonrestaurant"
1135,"LA City (East Central/Central City & Boyle Heights) PUMA, CA",4056991090.0,40012.14895603532,Public safety telecommunicators
2004,"South Plainfield & Middlesex Boroughs PUMA, NJ",4056398722.0,47886.344228321854,Automotive service technicians & mechanics
1406,"Moanalua to Pearl City PUMA, HI",4053901905.0,44189.74888825391,Credit counselors & loan officers
1461,"Nashville-Davidson (East) PUMA, TN",4053739398.0,42998.7944602604,Dental assistants
1326,"McHenry County (North, West & Central) PUMA, IL",4051297324.0,44668.395208685055,"Cement masons, concrete finishers, & terrazzo workers"
2107,"Summerfield Town PUMA, NC",4050504470.0,46421.584705443616,Chemical technicians
1445,"Mukilteo & Everett (Southwest) Cities PUMA, WA",4047023754.0,45918.84683424772,Registered nurses
1639,"Palm Beach County (Northeast) PUMA, FL",4045500557.0,47841.560665275225,Occupational health and safety specialists and technicians
1627,"Outer Green Bay City PUMA, WI",4043523430.0,43379.65019956556,Chemical engineers
621,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA, CT",4038586305.0,45596.77341774141,Clinical laboratory technologists & technicians
1786,"Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA, MD",4033870969.0,44123.62464440652,Painters & paperhangers
2365,"Yamhill & Polk Counties PUMA, OR",4033438819.0,43111.64764678732,"Miscellaneous community & social service specialists, including health educators & community health workers"
789,"Genesee (East) & Lapeer Counties PUMA, MI",4025818235.0,43837.9471685114,Market research analysts & marketing specialists
690,"Evansville City PUMA, IN",4025160319.0,42709.76182418062,Couriers & messengers
1519,"North of FM-1960, West of I-45 & East of TX-249 PUMA, TX",4022932979.0,48016.35735140886,"Dispatchers, except police, fire, and ambulance"
460,"Columbia County PUMA, GA",4022404025.0,46848.10522632555,Postal service mail carriers
1162,"Lafayette & West Lafayette Cities PUMA, IN",4020835124.0,42243.74365607043,Bus & truck mechanics & diesel engine specialists
409,"Clarksville City PUMA, TN",4015505655.0,43659.12717453188,"Hosts & hostesses, restaurant, lounge, & coffee shop"
358,"Chandler City (South) PUMA, AZ",4015017113.0,48065.21400014042,Occupational therapists
1318,"Mason, Franklin & Springboro (West) Cities PUMA, OH",4014253025.0,46280.56033335727,"Shipping, receiving, & traffic clerks"
1710,"Pikesville (South), Lochearn, Cockeysville & Mays Chapel PUMA, MD",4014125400.0,46786.45697208601,Food preparation workers
226,"Briarwood, Fresh Meadows & Hillcrest PUMA, NY",4014100623.0,44109.88157336488,Bakers
1791,"Rapid City PUMA, SD",3993523009.0,44562.82883290245,"Computer, automated teller, & office machine repairers"
86,"Austin City (Far North), Brushy Creek & Jollyville PUMA, TX",3992558025.0,46782.227709562205,Registered nurses
435,"Cobb County (Northwest)Kennesaw & Acworth Cities PUMA, GA",3991907347.0,45732.49715082126,"Sales representatives, wholesale & manufacturing"
790,"Genesee (West) & Shiawassee Counties PUMA, MI",3989210822.0,43142.86960898438,"Business operations specialists, all other"
65,"Arvada City PUMA, CO",3988017563.0,46641.72501609077,Teaching assistants
1424,"Montgomery County (Northeast)Conroe City (East) PUMA, TX",3987783363.0,44059.284354496485,Paralegals & legal assistants
48,"Ann Arbor City Area PUMA, MI",3985648203.0,47293.00446003514,"Educational, guidance, and career counselors and advisors"
2345,"Winnebago County PUMA, WI",3985603375.0,42079.8772586558,Electrical & electronics engineers
433,"Cobb County (Central)Marietta City PUMA, GA",3984575680.0,44439.007067292536,"Securities, commodities, & financial services sales agents"
1522,"North of I-30 & West of I-635 PUMA, TX",3983291699.0,46090.719506272915,"Shipping, receiving, & traffic clerks"
1632,"Oxnard & Port Hueneme Cities PUMA, CA",3981061022.0,43023.142386136766,"Miscellaneous engineers, including nuclear engineers"
234,"Broadview Heights, North Royalton & Strongsville Cities PUMA, OH",3979672384.0,47889.17794010686,Cabinetmakers & bench carpenters
123,"Bay & Midland Counties PUMA, MI",3978805384.0,43874.52052305248,Waiters & waitresses
1225,"Lexington Town & Red Bank PUMA, SC",3976878412.0,44008.93267355484,Network and computer systems administrators
921,"Hempstead Town (Southeast) PUMA, NY",3976136276.0,46155.094805769164,Other information and records clerks
646,"El Cajon & Santee Cities PUMA, CA",3968205674.0,43652.823999256834,Cooks
1771,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA, MD",3967075011.0,44232.8077956536,Executive secretaries and executive administrative assistants
1725,"Pleasantville City & Hammonton Town PUMA, NJ",3960538674.0,45035.04336507292,Nonfarm animal caretakers
2294,"West Jordan (West), Herriman & South Jordan (West) Cities PUMA, UT",3956916270.0,48346.870215024224,Cleaners of vehicles & equipment
529,"Davie Town & Cooper City PUMA, FL",3953672429.0,46610.44902991008,Financial managers
2195,"Tulsa City (West) PUMA, OK",3952421718.0,41955.162316922375,"Sales representatives, wholesale & manufacturing"
292,"Cape Coral City PUMA, FL",3952161124.0,44461.95366217635,Financial analysts
828,"Grayson, Cooke & Fannin Counties PUMA, TX",3949625702.0,43204.50609314752,Other designers
689,"Euless (South & West) & Arlington (North) Cities PUMA, TX",3946849702.0,45427.12188343765,Other information and records clerks
44,"Andover, Ramsey, Anoka & East Bethel Cities PUMA, MN",3946359802.0,44853.7346399657,Surveying & mapping technicians
1582,"Oklahoma City (Northwest Central) & Bethany Cities PUMA, OK",3944410099.0,45503.53382242707,Stockers and order fillers
225,"Brentwood & Oakley Cities PUMA, CA",3943468936.0,43356.41204464028,Other assemblers and fabricators
2373,"York County (West & Outside Rock Hill City) PUMA, SC",3942092520.0,43093.29813205486,Special education teachers
2196,"Turlock, Riverbank, Oakdale & Waterford Cities PUMA, CA",3934888608.0,41819.63123534511,Real estate brokers & sales agents
2258,"Washoe County (South) PUMA, NV",3933594959.0,44978.26925396513,Other assemblers and fabricators
2126,"Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, WA",3932907367.0,43826.29917519441,"Other education, training, & library workers"
1495,"Newton & Rockdale Counties PUMA, GA",3931304224.0,43474.99057487996,Insurance sales agents
599,"Draper (Northwest) & Sandy (South) Cities PUMA, UT",3930370869.0,48673.944164349115,Interior designers
1525,"North of I-635 PUMA, TX",3927598593.0,44958.74886164764,Data entry keyers
694,"Fair Lawn Borough, Garfield City & Lodi Borough PUMA, NJ",3926841468.0,44294.414699359346,"Production, planning, & expediting clerks"
55,"Arapahoe (East) & Adams (East) CountiesAurora City (Northeast) PUMA, CO",3924188798.0,44638.48014317442,Paralegals & legal assistants
135,"Beaverton City (East & Central) & Cedar Mill PUMA, OR",3923745613.0,46535.16358733461,Gaming services workers
214,"Bozeman City PUMA, MT",3923062575.0,44298.340395794534,Automotive service technicians & mechanics
2180,"Troy City PUMA, NY",3922605771.0,44422.62519945663,Nonfarm animal caretakers
437,"Cobb County (Southwest)Powder Springs City PUMA, GA",3919530757.0,45469.757226834314,Telemarketers
1220,"Leon County (Outer) PUMA, FL",3912622187.0,46255.758481952544,Credit counselors & loan officers
1403,"Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, CA",3912339157.0,46861.464848074116,Training & development specialists
140,"Bedford-Stuyvesant PUMA, NY",3910303425.0,41831.22768546661,"Hairdressers, hairstylists, & cosmetologists"
2267,"Waukesha County (Central) PUMA, WI",3906462665.0,46582.13051873217,Printing press operators
2042,"Spring PUMA, TX",3906312909.0,45801.39898546417,Painting workers
2252,"Washington County PUMA, RI",3904050044.0,46431.742376497124,Telecommunications line installers & repairers
873,"Guadalupe County PUMA, TX",3903627845.0,43834.951136584714,Cooks
2362,"Worth & Calumet Townships PUMA, IL",3901929973.0,42954.64211644359,"Social workers, all other"
723,"Folsom City, Orangevale & Fair Oaks (East) PUMA, CA",3901605554.0,47605.50959145605,Bus & truck mechanics & diesel engine specialists
1171,"Lake County (South) PUMA, IN",3899485582.0,43336.29543677257,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
950,"Hillsboro City PUMA, OR",3898415705.0,45440.35041993148,Construction & building inspectors
1818,"Ringwood, Wanaque & Pompton Lakes Boroughs PUMA, NJ",3897033886.0,47048.0968924879,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters"
923,"Hempstead Town (West Central) PUMA, NY",3895472257.0,43674.691004913315,Public safety telecommunicators
1358,"Metuchen Borough PUMA, NJ",3894844618.0,45012.09153480211,"Tailors, dressmakers, & sewers"
159,"Berks County (East) PUMA, PA",3891431262.0,40928.36779480436,Telemarketers
639,"Ector CountyOdessa City PUMA, TX",3891011838.0,40378.908399035034,Detectives & criminal investigators
1697,"Phoenix City (East) PUMA, AZ",3881989693.0,44286.85958056458,Pharmacy aides
2224,"Virginia Beach City (South) PUMA, VA",3877220447.0,45642.70283876918,"Firstline supervisors of farming, fishing, & forestry workers"
1094,"Kansas City (Central) PUMA, MO",3874391168.0,45281.456665375306,Cooks
1450,"Murrieta & Wildomar Cities PUMA, CA",3873264775.0,43303.05662188462,Diagnostic medical sonographers
645,"Edmonds, Lynnwood & Mountlake Terrace Cities PUMA, WA",3871422603.0,45568.788716070485,Firstline supervisors of food preparation & serving workers
608,"Dutchess County (North & East) PUMA, NY",3870560827.0,45429.50636632723,Chiropractors
2051,"St. Charles County (Northeast) PUMA, MO",3870384793.0,43455.04190085206,Cleaners of vehicles & equipment
2352,"Wood, Portage, Juneau & Adams Counties PUMA, WI",3867122691.0,42195.28694235896,"Environmental scientists and specialists, including health"
1149,"LA City (South/San Pedro) PUMA, CA",3866950135.0,42625.91404219697,"Carpet, floor, & tile installers & finishers"
1046,"Jackson Heights & North Corona PUMA, NY",3864699530.0,41188.23167182334,Preschool & kindergarten teachers
7,"Aiken & North Augusta Cities PUMA, SC",3864150173.0,42651.609942305426,Industrial production managers
1769,"Puyallup City & South Hill PUMA, WA",3864043433.0,43515.074920267456,"Production, planning, & expediting clerks"
1266,"Louisville/Jefferson County (North Central) PUMA, KY",3859609682.0,46645.72032810395,Nursing assistants
2161,"Titusville, Rockledge & Cocoa Cities PUMA, FL",3857484621.0,44192.55325270945,Police officers
901,"Harrisburg City & Colonial Park PUMA, PA",3855397847.0,44764.92399596787,Retail salespersons
1790,"Rankin & Simpson Counties PUMA, MS",3854284719.0,45568.57747026045,Highway maintenance workers
263,"Burbank City PUMA, CA",3853724984.0,43955.87393074841,Public relations and fundraising managers
1890,"San Diego City (Central/Mira Mesa & University Heights) PUMA, CA",3850743622.0,45821.51359994861,"Social workers, all other"
1609,"Orem, Pleasant Grove, American Fork & Lindon Cities PUMA, UT",3849281981.0,44631.38857347978,Training & development specialists
869,"Greer City (East) PUMA, SC",3849151273.0,42495.841215789915,Security guards & gaming surveillance officers
1412,"Monroe City & Beckett Ridge PUMA, OH",3848753133.0,47684.43866777735,Web developers
2358,"Worcester City PUMA, MA",3847799773.0,43095.54655117569,Chemical technicians
2282,"Wellington Village & Agricultural Reserve PUMA, FL",3842911323.0,46182.484986790696,Computer numerically controlled tool operators and programmers
185,"Bismarck City PUMA, ND",3841899194.0,45610.49927882448,"Weighers, measurers, checkers, & samplers, recordkeeping"
1680,"Pflugerville, Manor Cities & Wells Branch PUMA, TX",3836083800.0,43906.9183406786,Emergency medical technicians
431,"Coastal Region PUMA, CA",3834345981.0,43911.55082153035,Advertising sales agents
2372,"York County (South) PUMA, PA",3833271327.0,43894.64375795126,Elementary & middle school teachers
2239,"Warren & Franklin TownshipsIndianapolis City (East & Southeast) PUMA, IN",3830332564.0,43534.263618476136,Highway maintenance workers
1706,"Pickaway, Union & Madison Counties PUMA, OH",3827514855.0,43326.13272392567,Security guards & gaming surveillance officers
238,"Brookhaven Town (South) PUMA, NY",3823722743.0,43304.90584040359,"Chemical processing machine setters, operators, & tenders"
956,"Hillsborough County (Western) PUMA, NH",3820440488.0,46850.480413367324,Automotive service technicians & mechanics
2108,"Summerville Town & Ladson PUMA, SC",3820283656.0,42319.28250721152,"Miscellaneous life, physical, & social science technicians, including social science research assistants"
1950,"Seminole County (East) PUMA, FL",3819899189.0,45902.05580672806,Retail salespersons
1744,"Portage Park, Dunning & Jefferson Park PUMA, IL",3819090725.0,43305.679954121726,Real estate brokers & sales agents
162,"Bethel Park Municipality & Jefferson Hills Borough PUMA, PA",3815484148.0,49577.509449254256,Firstline supervisors of office & administrative support workers
237,"Brookhaven Town (North) PUMA, NY",3809658124.0,47389.42599895677,Miscellaneous plant & system operators
1301,"Mansfield (North) & Arlington (Southwest) Cities PUMA, TX",3809126427.0,46748.84813377621,"Sales representatives, wholesale & manufacturing"
493,"Council Bluffs City PUMA, IA",3808711984.0,41975.34389171234,Telecommunications line installers & repairers
2086,"St. Tammany Parish (Northwest) PUMA, LA",3807270858.0,45958.349122349595,Management analysts
6,"Ahwatukee & South Mountain PUMA, AZ",3801140759.0,46229.69403264595,Financial managers
1827,"Robertson, Dickson, Cheatham & Hickman Counties PUMA, TN",3798458823.0,43246.70107210115,"Inspectors, testers, sorters, samplers, & weighers"
922,"Hempstead Town (Southwest) & Long Beach City PUMA, NY",3795820535.0,47199.27291093389,Couriers & messengers
394,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA, MN",3795696324.0,41102.19498694007,Bailiffs
1191,"Lansdale Borough PUMA, PA",3793232672.0,44890.57379088015,Industrial truck & tractor operators
253,"Buckhall & Sudley PUMA, VA",3791150765.0,45366.12302222561,Cleaners of vehicles & equipment
1700,"Phoenix City (Northeast) PUMA, AZ",3786981942.0,46291.0485791539,"Healthcare support workers, all other, including medical equipment preparers"
728,"Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",3785916325.0,47417.35410357195,Telecommunications line installers & repairers
902,"Harrison CountyGulfport & Biloxi Cities PUMA, MS",3785731639.0,43893.41677632746,Insurance sales agents
867,"Greenwood City PUMA, IN",3784738202.0,43733.76304872091,Police officers
660,"Elk Grove & Wheeling (Southwest) Townships PUMA, IL",3782185089.0,46353.68501616444,Other entertainment attendants and related workers
419,"Clermont County (West) PUMA, OH",3781900366.0,44788.95625172363,"Hairdressers, hairstylists, & cosmetologists"
1246,"Littleton, Englewood Cities & Columbine PUMA, CO",3779176944.0,45033.50458023477,Other designers
1032,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities PUMA, VA",3778578509.0,43917.3700027765,"Industrial engineers, including health & safety"
271,"Burnsville & Apple Valley Cities PUMA, MN",3775816846.0,47306.064734833235,Construction managers
908,"Hawthorne Borough & Clifton City (Northwest) PUMA, NJ",3775731718.0,44039.31396761825,"Doortodoor sales workers, news & street vendors, & related workers"
27,"Allegheny County (West) PUMA, PA",3775348525.0,45552.57994676703,Financial analysts
1832,"Rock Hill City & Fort Mill Town PUMA, SC",3767957084.0,45140.50254722672,Computer numerically controlled tool operators and programmers
1474,"New Brunswick City, South River & Highland Park Boroughs PUMA, NJ",3767371320.0,43938.94350439056,Dining room and cafeteria attendants and bartender helpers
616,"East Baton Rouge Parish (South) PUMA, LA",3767193070.0,46959.315719576196,"Other therapists, including exercise physiologists"
1420,"Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA, PA",3759215778.0,44734.96115276747,Chemical technicians
1289,"Madison City (Central) PUMA, WI",3758997304.0,46494.55473535982,Other entertainment attendants and related workers
2153,"Thornton & Federal Heights Cities PUMA, CO",3757577651.0,42939.017765994075,Orderlies and psychiatric aides
490,"Corona (Northwest) & Norco Cities PUMA, CA",3757398550.0,42092.53446627724,Heavy vehicle & mobile equipment service technicians & mechanics
264,"Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",3751350269.0,43362.02211570995,Facilities managers
878,"Gwinnett County (North)Sugar Hill City PUMA, GA",3750640572.0,46995.866891926125,"Food servers, nonrestaurant"
189,"Bloomington & Richfield Cities PUMA, MN",3746605863.0,45065.88290769407,Word processors & typists
1785,"Randall CountyAmarillo City (South) PUMA, TX",3744344377.0,46486.30313189394,Electricians
1606,"Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",3742122350.0,45052.28262744555,Logisticians
2140,"Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA, MA",3741332393.0,44114.98052700906,Physicians
153,"Bensonhurst & Bath Beach PUMA, NY",3737163946.0,42043.50019905286,"Securities, commodities, & financial services sales agents"
1210,"Lebanon & Mount Juliet Cities PUMA, TN",3735729702.0,44088.493207784,"Wholesale & retail buyers, except farm products"
1252,"Livonia City & Redford Charter Township PUMA, MI",3734313319.0,44539.80144138913,Audiologists
1056,"Jacksonville City (Southwest) PUMA, FL",3733720019.0,44406.26569265034,Other designers
1719,"Plainfield & Lockport Townships PUMA, IL",3733509367.0,44083.93689956517,Maids & housekeeping cleaners
2060,"St. Cloud City PUMA, MN",3732774774.0,43217.00192378883,Administrative services managers
1494,"Newport News City PUMA, VA",3732548704.0,43944.08591428454,Advertising sales agents
1068,"Jefferson Parish (Central) PUMA, LA",3730730926.0,45787.97017714765,Veterinarians
1352,"Mesa City (East) PUMA, AZ",3730223390.0,45194.51690968791,Machinists
390,"Chicopee City PUMA, MA",3729561760.0,44790.03215522958,Firstline supervisors of police & detectives
204,"Boone County PUMA, KY",3728528986.0,46361.536682936996,"Plumbers, pipefitters, and steamfitters"
1487,"New Springville & South Beach PUMA, NY",3727724000.0,44421.83662633455,Childcare workers
1596,"Ontario City PUMA, CA",3727403819.0,41029.28474807067,"Farmers, ranchers, & other agricultural managers"
1922,"Santa Cruz City PUMA, CA",3726303976.0,43475.658211626935,Occupational therapy assistants & aides
155,"Berea, Brook Park, Lakewood & Rocky River Cities PUMA, OH",3725999547.0,44882.65956600611,"Sales representatives of services, except advertising, insurance, financial services, and travel"
680,"Escambia County (South) PUMA, FL",3725979548.0,44338.679914935725,Billing & posting clerks
2098,"Stockton City (North) PUMA, CA",3723999790.0,42537.15532051773,Civil engineers
918,"Hempstead Town (North Central)Meadowbrook Corridor PUMA, NY",3722856216.0,41372.80206389656,File clerks
2312,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA",3721871155.0,44034.233840354944,Entertainment and recreation managers
1970,"Shoreview, White Bear Lake & New Brighton Cities PUMA, MN",3717991576.0,46475.258518103634,Other information and records clerks
1393,"Minneapolis (North) & St. Anthony Cities PUMA, MN",3715564156.0,43355.146798927,Food service managers
361,"Charleston City PUMA, WV",3714702384.0,45654.94749666253,"Other therapists, including exercise physiologists"
105,"Baldwin & Whitehall Boroughs PUMA, PA",3711789113.0,44363.70926413646,Medical assistants
1834,"Rockford City PUMA, IL",3708348663.0,44194.216913698845,Helpersproduction workers
495,"Coweta County PUMA, GA",3705469618.0,44146.14533902818,"Maintenance & repair workers, general"
1272,"Loveland City PUMA, CO",3701116477.0,45141.484639070026,Firstline supervisors of police & detectives
88,"Austin City (Northeast) PUMA, TX",3700890093.0,44708.9028059998,Physicians
1141,"LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, CA",3700368777.0,42640.241358370455,Data entry keyers
1447,"Murfreesboro City PUMA, TN",3697780564.0,43997.565405514324,Nurse practitioners & nurse midwives
832,"Greater Boynton Beach City (North) PUMA, FL",3693040563.0,44384.278524080495,Writers & authors
1678,"Petaluma, Rohnert Park & Cotati Cities PUMA, CA",3692627424.0,43284.465260742036,Radiologic technologists and technicians
1755,"Prichard City, Tillmans Corner & Saraland City PUMA, AL",3690335621.0,44568.892602530366,Other financial clerks
2375,"Youngstown City, Boardman & Austintown PUMA, OH",3688834795.0,43131.48602228022,Other teachers and instructors
1854,"Sacramento City (Central/Downtown & Midtown) PUMA, CA",3688667800.0,47326.36052905893,Human resources managers
1975,"Simpsonville, Laurens & Clinton Cities PUMA, SC",3688342481.0,42911.746583739914,"Production, planning, & expediting clerks"
1043,"Jackson County (South Central) PUMA, MO",3684530471.0,47011.68721573563,"Lawyers, & judges, magistrates, & other judicial workers"
1481,"New London County (South) PUMA, CT",3683516227.0,45534.96948570434,Nonfarm animal caretakers
186,"Blaine, Lino Lakes & Ham Lake Cities PUMA, MN",3683024211.0,44631.70000739403,Executive secretaries and executive administrative assistants
677,"Erie County (Outer) PUMA, PA",3682989637.0,45339.63282517516,Real estate brokers & sales agents
1848,"Rural Nevada PUMA, NV",3682941093.0,42400.903739866146,"Military, rank not specified"
1248,"Livingston & St. Helena Parishes PUMA, LA",3682231916.0,44544.58768751319,Musicians and singers
864,"Greensburg City PUMA, PA",3680558041.0,43308.203002428774,Firefighters
2349,"Winter Garden, Ocoee Cities & Oakland Town PUMA, FL",3680082480.0,41668.064303852734,Architectural and civil drafters
1314,"Martin County PUMA, FL",3679414135.0,45905.00520357657,Couriers & messengers
1651,"Parker County PUMA, TX",3674279127.0,45626.0687536611,"Title examiners, abstractors, and searchers"
328,"Castaic PUMA, CA",3671536559.0,43960.688362949964,Paralegals & legal assistants
1458,"Napa City PUMA, CA",3668364407.0,43253.144654307536,Other healthcare practitioners & technical Occupations
66,"Ascension Parish PUMA, LA",3668247266.0,43170.24401321426,Artists & related workers
1604,"Orange County (Southeast) PUMA, NY",3666429385.0,44881.18453650439,"Purchasing agents, except wholesale, retail, & farm products"
1937,"Schenectady City PUMA, NY",3664695820.0,44155.54998246663,Janitors & building cleaners
797,"Germantown & Montgomery Village PUMA, MD",3663900961.0,45251.59401251951,Network and computer systems administrators
281,"Calhoun & Barry Counties PUMA, MI",3662679087.0,42200.77472929691,Human resources workers
1758,"Providence County (West & Central)Woonsocket City PUMA, RI",3662388196.0,42674.17898161203,File clerks
1856,"Sacramento City (Northwest/Natomas) PUMA, CA",3661098616.0,44790.603371273755,"Farmers, ranchers, & other agricultural managers"
143,"Bell County (North, East & South)Temple & Belton Cities PUMA, TX",3660485088.0,43405.58845344371,Childcare workers
2361,"Worcester County (West Central) PUMA, MA",3659073891.0,44005.69617918744,Healthcare social workers
2338,"Wilmington City PUMA, NC",3657686442.0,45897.5970518959,Software developers
478,"Comal County PUMA, TX",3656451960.0,45198.83646109111,Electricians
872,"Gresham & Troutdale Cities PUMA, OR",3654908013.0,41612.768163277244,Firstline supervisors of food preparation & serving workers
2244,"Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA, IA",3653872288.0,43199.4978652772,Bus & truck mechanics & diesel engine specialists
1766,"Putnam County PUMA, NY",3652973564.0,44754.19465579475,"Dispatchers, except police, fire, and ambulance"
845,"Greater North Las Vegas City PUMA, NV",3652166563.0,39961.08415712541,Pharmacy technicians
1724,"Platte County PUMA, MO",3651764154.0,46000.32107291964,Supervisors of personal care and service workers
